"ens_gene"	"most_sig_transcript"	"pval"	"qval"	"num_transcripts"	"list_of_transcripts"
"96"	"ENSG00000109189"	"ENST00000451218"	0.119551554389615	0.505472361542055	9	"ENST00000451218, ENST00000441222, ENST00000502443, ENST00000503060, ENST00000504078, ENST00000506707, ENST00000508499, ENST00000512656, ENST00000514536"
"97"	"ENSG00000109606"	"ENST00000336812"	0.144977131456007	0.554595058426949	10	"ENST00000336812, ENST00000503562, ENST00000504279, ENST00000508032, ENST00000508368, ENST00000510645, ENST00000511553, ENST00000512903, ENST00000513036, ENST00000513092"
"98"	"ENSG00000109756"	"ENST00000264431"	0.269985111139431	0.695897452241741	13	"ENST00000264431, ENST00000502485, ENST00000503328, ENST00000504604, ENST00000505026, ENST00000505478, ENST00000509891, ENST00000510253, ENST00000510510, ENST00000511336, ENST00000512056, ENST00000513816, ENST00000514565"
"99"	"ENSG00000110107"	"ENST00000227524"	0.165308631381099	0.574803513501734	7	"ENST00000227524, ENST00000535326, ENST00000539180, ENST00000539960, ENST00000540473, ENST00000541371, ENST00000546152"
"100"	"ENSG00000110237"	"ENST00000263674"	0.336189728295643	0.750201152956018	6	"ENST00000263674, ENST00000536170, ENST00000536481, ENST00000537198, ENST00000543530, ENST00000544519"
"101"	"ENSG00000110422"	"ENST00000379016"	0.19130652738338	0.623038825667495	6	"ENST00000379016, ENST00000303296, ENST00000456517, ENST00000525975, ENST00000531504, ENST00000534262"
"102"	"ENSG00000110660"	"ENST00000525071"	0.331282073520208	0.744544558405016	6	"ENST00000525071, ENST00000375682, ENST00000524991, ENST00000525815, ENST00000532513, ENST00000533664"
"103"	"ENSG00000110841"	"ENST00000228425"	0.819043481717616	0.9821015215739	18	"ENST00000228425, ENST00000318304, ENST00000534917, ENST00000535047, ENST00000535575, ENST00000537261, ENST00000537927, ENST00000538433, ENST00000539326, ENST00000540114, ENST00000540256, ENST00000540503, ENST00000541633, ENST00000542187, ENST00000542629, ENST00000545334, ENST00000545381, ENST00000619325"
"104"	"ENSG00000111252"	"ENST00000341259"	0.418144525480028	0.786705935531211	3	"ENST00000341259, ENST00000538307, ENST00000550925"
"105"	"ENSG00000111412"	"ENST00000261318"	0.051150666717742	0.332264644075411	4	"ENST00000261318, ENST00000547606, ENST00000547630, ENST00000548356"
"106"	"ENSG00000111642"	"ENST00000357008"	0.580548459992404	0.881919041523075	14	"ENST00000357008, ENST00000544040, ENST00000430771, ENST00000535717, ENST00000535810, ENST00000536301, ENST00000536999, ENST00000537634, ENST00000540960, ENST00000542717, ENST00000544484, ENST00000545083, ENST00000545584, ENST00000545942"
"107"	"ENSG00000111799"	"ENST00000345356"	0.179458991779514	0.59246050710771	11	"ENST00000345356, ENST00000322507, ENST00000425443, ENST00000419671, ENST00000416123, ENST00000474564, ENST00000483888, ENST00000486533, ENST00000493109, ENST00000511023, ENST00000615798"
"108"	"ENSG00000111843"	"ENST00000229563"	0.378031723839802	0.781091450595877	5	"ENST00000229563, ENST00000466421, ENST00000467415, ENST00000495549, ENST00000541412"
"109"	"ENSG00000112306"	"ENST00000230050"	0.0371810125945649	0.286444821808898	2	"ENST00000230050, ENST00000484616"
"110"	"ENSG00000112419"	"ENST00000427704"	0.632222047083482	0.895216671151975	12	"ENST00000427704, ENST00000305766, ENST00000367582, ENST00000367584, ENST00000397980, ENST00000402863, ENST00000420771, ENST00000440869, ENST00000451827, ENST00000536245, ENST00000542769, ENST00000545919"
"111"	"ENSG00000112763"	"ENST00000312541"	0.249673059923422	0.679413092170886	7	"ENST00000312541, ENST00000377600, ENST00000429381, ENST00000469185, ENST00000480218, ENST00000493173, ENST00000541522"
"112"	"ENSG00000113583"	"ENST00000231512"	0.395729274023956	0.781935044304135	3	"ENST00000231512, ENST00000507191, ENST00000509913"
"113"	"ENSG00000113719"	"ENST00000393784"	0.21286874437926	0.642861067868773	14	"ENST00000393784, ENST00000326654, ENST00000518247, ENST00000519567, ENST00000519796, ENST00000519860, ENST00000520326, ENST00000520399, ENST00000520642, ENST00000521392, ENST00000523215, ENST00000523291, ENST00000523366, ENST00000523650"
