"ens_gene"	"target_id"	"pval"	"qval"	"num_transcripts"	"all_target_ids"
"116"	"ENSG00000114391"	"ENST00000394077"	0.901670505061726	0.993117095472403	6	"ENST00000394077"
"117"	"ENSG00000115053"	"ENST00000356936"	0.0817988953019317	0.421003372728223	10	"ENST00000356936"
"118"	"ENSG00000115234"	"ENST00000233575"	0.935659911865469	0.99550607877328	10	"ENST00000233575"
"119"	"ENSG00000115268"	"ENST00000592588"	0.963867478575698	0.99550607877328	13	"ENST00000592588"
"120"	"ENSG00000115464"	"ENST00000398571"	0.703585421079763	0.931670804836389	22	"ENST00000398571"
"121"	"ENSG00000115594"	"ENST00000410023"	0.00757611723604171	0.101435791882558	13	"ENST00000410023"
"122"	"ENSG00000115760"	"ENST00000421745"	0.380613553892141	0.787363660841254	12	"ENST00000421745"
"123"	"ENSG00000115944"	"ENST00000234301"	0.96348689818312	0.99550607877328	8	"ENST00000234301"
"124"	"ENSG00000116406"	"ENST00000367512"	0.21561827638222	0.644887647910558	6	"ENST00000367512"
"125"	"ENSG00000116604"	"ENST00000464356"	0.03183713601034	0.256140973197812	7	"ENST00000464356"
"126"	"ENSG00000116685"	"ENST00000376572"	0.818451477504412	0.982190768531659	3	"ENST00000376572"
"127"	"ENSG00000117139"	"ENST00000367264"	0.258284010499549	0.684026884949356	10	"ENST00000367264"
"128"	"ENSG00000117298"	"ENST00000357071"	0.42747261074736	0.78972013451792	13	"ENST00000357071"
"129"	"ENSG00000117597"	"ENST00000491415"	0.209113976803939	0.644887647910558	2	"ENST00000491415"
"130"	"ENSG00000117868"	"ENST00000251527"	0.30706826602418	0.730114587318846	6	"ENST00000251527"
"131"	"ENSG00000117984"	"ENST00000236671"	0.107615698606138	0.471552424801439	6	"ENST00000236671"
"132"	"ENSG00000118680"	"ENST00000237500"	0.927420665717136	0.995480246967827	4	"ENST00000237500"
"133"	"ENSG00000118705"	"ENST00000237530"	0.889195802030172	0.993117095472403	8	"ENST00000237530"
"134"	"ENSG00000119280"	"ENST00000470540"	0.0484732438440678	0.329865498380263	7	"ENST00000470540"
"135"	"ENSG00000119314"	"ENST00000374257"	0.343901891413937	0.750048469056641	8	"ENST00000374257"
"136"	"ENSG00000119777"	"ENST00000238788"	0.394792116720914	0.788937881422776	13	"ENST00000238788"
"137"	"ENSG00000120137"	"ENST00000239231"	0.0830644064223097	0.421003372728223	3	"ENST00000239231"
"138"	"ENSG00000120686"	"ENST00000239878"	0.0705767201785992	0.39555789681494	5	"ENST00000239878"
"139"	"ENSG00000120694"	"ENST00000630972"	0.294451471927185	0.730114587318846	9	"ENST00000630972"
"140"	"ENSG00000122786"	"ENST00000361901"	0.0420517305281108	0.302521404694767	24	"ENST00000361901"
"141"	"ENSG00000124181"	"ENST00000244007"	0.792341714830183	0.974256904459562	22	"ENST00000244007"
"142"	"ENSG00000124486"	"ENST00000378308"	0.3918267437304	0.788937881422776	8	"ENST00000378308"
"143"	"ENSG00000124614"	"ENST00000326199"	0.678270070590797	0.916985731339513	7	"ENST00000326199"
"144"	"ENSG00000124942"	"ENST00000378024"	4.02338025459495e-08	2.42408660339345e-06	8	"ENST00000378024"
"145"	"ENSG00000125844"	"ENST00000246043"	0.392894443229389	0.788937881422776	11	"ENST00000246043"
"146"	"ENSG00000125971"	"ENST00000357156"	0.216534998032911	0.644887647910558	4	"ENST00000357156"
"147"	"ENSG00000126767"	"ENST00000376983"	0.0503154426622429	0.332914210365364	4	"ENST00000376983"
